Tên;B;L;H
Base_0;10.785868333;106.661980000;0.0765
Base_1;10.756603333;106.653606666;-1.4235
nctQ5.1;10.756693728;106.653610410;-0.1772
PT2;10.756467814;106.653683376;8.7964
PT3;10.756201969;106.653692624;7.8992
PT4;10.755957230;106.653702159;7.2842
PT5;10.755753531;106.653714105;6.9916
PT6;10.755452036;106.653661884;-0.3587
PT7;10.755158989;106.653676211;0.0209
PT8;10.754869562;106.653687686;-0.0306
PT9;10.754622815;106.653698566;0.1718
PT10;10.754358233;106.653708305;0.3608
PT11;10.754107329;106.653719680;0.1006
TU Q512;10.753857294;106.653724618;-0.1224
Base_2;10.757759999;106.653640000;7.6765
TU Q5n1;10.756680307;106.653674695;0.2355
TU Q5n2;10.756394615;106.653687127;0.1552
TU Q5n3;10.756106389;106.653700830;0.2388
TU Q5n4;10.755852801;106.653712271;0.2249
TU Q5n5;10.755561681;106.653725871;0.1997
TU Q5n6;10.755355459;106.653735904;0.0448
TU Q5n7;10.755072953;106.653750085;0.097
TU Q5n8;10.754786640;106.653761702;0.0421
TU Q5n9;10.754488852;106.653772335;0.1317
TU Q5n10;10.754212864;106.653782134;0.1749
TU Q5n11;10.753942796;106.653791439;-0.0667
TU Q5n12;10.753898374;106.653682261;0.0296
Base_3;10.753670000;106.653686667;0.4765
Base_4;10.753670000;106.653686667;0.4765
Base_5;10.753371666;106.653631666;-0.2235
Base_6;10.753351666;106.653670000;1.6765
Base_7;10.749803333;106.661565000;4.2765
TQP n1;10.749721117;106.661608625;-0.1242
TQP  hh;10.749841184;106.661592422;-0.301
TQP  n2;10.750066552;106.661582005;0.8404
hh2;10.750142298;106.661575508;0.7481
n3;10.750379869;106.661567576;-0.3634
hh3;10.750531664;106.661569843;-0.2446
tủ HTLO1;10.750527641;106.661596231;0.319
tủ HTLO2;10.750527572;106.661596013;0.303
n4;10.750655541;106.661557955;1.3203
hh4;10.750874713;106.661549467;1.8282
n5;10.750878913;106.661546448;0.3734
n6;10.751368476;106.661520699;1.004
hh5;10.751359621;106.661449865;0.9962
hh6;10.751553700;106.661441823;0.9732
n7;10.751661509;106.661507239;0.758
hh7;10.751766375;106.661433289;1.4804
n8;10.751955843;106.661494911;1.0371
hh8;10.751955221;106.661421249;0.6786
ln ts102 THD8;10.752094133;106.661575148;0.7221
n9;10.752129422;106.661482873;0.7098
hh9;10.752386547;106.661400602;0.7583
n10;10.752397883;106.661467864;0.7275
n11;10.752656746;106.661458395;0.9139
hh10;10.752695146;106.661385508;0.9429
n12;10.752914720;106.661445907;0.9532
n13;10.753159400;106.661466294;0.8707
hh11;10.753169968;106.661404233;0.8813
hh12;10.753444871;106.661424539;1.0019
n14;10.753454351;106.661484799;0.9042
n15;10.753747467;106.661503954;0.7895
hh13;10.753709519;106.661442511;1.1365
hh14;10.753988224;106.661470791;4.6466
n16;10.754030133;106.661523756;0.876
n17;10.754289743;106.661538635;1.1233
hh15;10.754269357;106.661479022;0.8252
ln ts4 Ký Hoà;10.754334879;106.661713448;1.3493
n18;10.754592574;106.661561885;1.1209
n19;10.754896517;106.661582871;1.2217
hh16;10.754867484;106.661520030;1.1479
hh17;10.756928784;106.661011907;9.6427
n20;10.756935794;106.661009703;10.0529
n21;10.756688270;106.661099499;18.9317
hh18;10.756693741;106.661112449;19.4042
hh19;10.756389985;106.661178583;-0.4843
n22;10.756364906;106.661180526;-1.0378
hh20;10.756248912;106.661201181;7.2772
n23;10.756092629;106.661229190;8.2034
hh21;10.755941217;106.661290326;3.2657
n24;10.755821323;106.661334365;5.3107
hh22;10.755655629;106.661378175;-0.1804
n25;10.755589838;106.661371950;1.215
hh23;10.755356204;106.661431326;1.0134
n26;10.755345182;106.661438057;0.9713
phc hh1;10.756283992;106.660913635;4.8516
tddk hữu chí + ts1;10.756282993;106.660900514;2.8086
phc hh2;10.756234009;106.660591648;0.8935
phc n2;10.756233898;106.660591663;0.887
phc n3;10.756178424;106.660330124;1.5606
phc hh3;10.756175949;106.660311463;2.4571
phc hh4;10.756119532;106.660035665;0.9159
phc n4;10.756119486;106.660035574;0.9037
phc n5;10.756027492;106.659738630;14.1848
phc hh 5;10.756024020;106.659737197;5.3354
phc hh 6;10.756007279;106.659423561;15.4784
phc n6;10.756017177;106.659436773;11.3923
phc n7;10.755932771;106.659169693;9.3931
phc hh7;10.755925157;106.659161850;10.095
phc n8;10.755866600;106.658862074;18.5867
phc hh8;10.755877830;106.658835114;11.0741
phc n9;10.755815221;106.658551489;0.7154
phc hh9+ hạ ngầm tủ hữu chí 5;10.755805512;106.658498813;0.7102
Base_8;10.752158333;106.653125000;5.0765
Base_9;10.752188333;106.653088333;4.1765
Base_10;10.753436667;106.653590000;5.6766
phc hh9+ hạ ngầm tủ hữu chí 6;10.753435904;106.653605508;-0.3218
phc hh9+ hạ ngầm tủ hữu chí 7;10.753501235;106.653549969;-0.4457
T lấy nguồn HB6;10.753502868;106.653546259;-0.3369
PH+1;10.753425588;106.653624384;-0.3842
PH+2;10.753128981;106.653563948;-0.1031
PH+3;10.752889655;106.653510133;-0.0831
PH+4;10.752872330;106.653653292;-0.2073
PH+5[1];10.752906886;106.653639462;-0.062
PH+5[2];10.753120343;106.653717986;-0.0725
PH+6;10.753434225;106.653789241;-0.3456
TS9+HB6;10.753567781;106.653896151;-0.112
PH+TS1;10.752421007;106.653377589;0.1334
PH+TS2[1];10.752416178;106.653378540;0.1933
PH+TS2[2];10.752199917;106.653342094;8.0E-4
PH+TS3;10.751966023;106.653298971;-0.2213
PH+TS4;10.751763570;106.653244827;-0.0358
PH+TT1;10.751260658;106.653740419;0.1181
PH+TT2;10.751429403;106.653575164;0.1027
PH+TT3;10.751592615;106.653418053;0.0294
TCC1+CC4;10.752170860;106.653095086;-0.2497
TCC2+CC4;10.752194636;106.652834691;-0.3489
TCC3+CC4;10.752216343;106.652591315;-0.2355
TCC4+CC4;10.752238660;106.652315463;-0.2772
TCC5+CC4;10.752265534;106.652018181;-0.169
