Tên;B;L;H
Base_0;10.733951666;106.640776667;-6.1235
Base_1;10.726981666;106.628823333;-1.2235
lay nguon;10.726672868;106.628855093;-1.5354
trong tru;10.726991713;106.628794803;-0.9474
htlt3;10.727230742;106.628842502;-1.078
htlt4;10.727224172;106.629024104;-1.5269
htlt5;10.727226926;106.629222789;-1.5878
htlt6;10.727230469;106.629489348;-1.3666
htlt7;10.727224055;106.629686951;-1.696
htlt8;10.727206644;106.630011512;-1.3209
htlt9;10.727223848;106.630321947;9.1818
htlt10;10.726987705;106.629495311;-1.3826
htlt11;10.727462085;106.629489708;-0.8324
htlt12;10.727777518;106.629514142;-1.285
htltdn13;10.727191686;106.628733040;-1.3878
htltl14;10.727394137;106.628549987;-1.5813
htltl15;10.727607004;106.628606344;-1.5937
ttltldn16;10.727865972;106.628674351;-1.6319
ttltl17;10.728107981;106.628746916;-1.6475
htltldd18;10.728374001;106.628849264;-1.6578
ttltl19;10.728328798;106.628954254;-1.6276
ttltl20;10.728276191;106.629054954;-1.6411
htltl21;10.728255377;106.629109637;-1.7682
ttltl22;10.728205974;106.629322311;-1.6846
trong tru 23;10.727902518;106.629234850;-1.5539
ttltl 24;10.728466923;106.629331214;-1.4316
ttltl 25;10.728698363;106.629343271;-1.7266
ttltl 26;10.728702459;106.629520698;-1.7828
ttltl 27;10.728742532;106.629681836;-1.8806
htltl 28;10.728578437;106.629667542;-1.6299
htltl 29;10.728360151;106.629664308;-1.5075
htltl 30;10.728137489;106.629670967;-1.8835
lay nguon tru 31 phu dinh 2 31;10.729047572;106.629559314;-1.7122
test;10.729573400;106.631001100;-111.6787
htltl32;10.728053280;106.628968406;-0.5851
htltl33;10.727901392;106.628944906;-0.879
htltl34;10.727692049;106.628875529;3.4116
htltl35;10.727414214;106.628810580;-4.8433
ttltldn36;10.728410892;106.628799773;0.8498
ttltl37;10.728451206;106.628658583;-1.2552
htltl38;10.728501062;106.628657348;-1.6488
htltl39;10.728673136;106.628724270;-1.7313
htltl40;10.728950098;106.628699086;-1.5568
htltl41;10.729096655;106.628717952;-1.6824
htltl42;10.727928088;106.628500561;-1.6449
ttltl43;10.727944886;106.628409006;2.602
htltl44;10.727674791;106.628334077;-1.8178
htltl45;10.727495856;106.628268985;1.2996
htltl ( co TBA )46;10.727984025;106.628170696;-0.5031
ttltl 47;10.727997908;106.627984682;0.3541
htltl 48;10.728054260;106.627986666;7.2623
htltl 49;10.728064010;106.627777129;-2.4049
ttltl 50;10.728276341;106.627970253;-1.4595
ttltl 51;10.728426888;106.627970339;-1.5161
htltl 52;10.728438053;106.627790221;-1.699
htltl 53;10.728453777;106.627607040;-2.1541
htltl 54;10.728500411;106.627378829;0.466
htltl 55;10.727798320;106.627965135;-0.5307
htltl 56;10.727733832;106.628123247;-0.4338
htltl 57;10.727518260;106.628060727;1.9274
htltl 58;10.727553712;106.627773378;-1.7802
htltl 59;10.727296798;106.628030268;-1.649
htltl 60;10.727287258;106.627683615;-1.7651
htltl 61;10.727340050;106.627427357;-1.7212
htltl 62;10.727001308;106.627990881;-1.5622
htltl 63;10.727011858;106.627727693;-1.6281
htltl 64;10.727033963;106.627466898;-1.7919
htltl 65;10.727060391;106.627240058;-1.6307
htltl ( tru lay nguon)66;10.726771075;106.627925019;-1.479
Base_2;10.717695000;106.624150000;7.8765
Base_3;10.717715000;106.624173333;-2.6234
Base_4;10.747780000;106.674084999;16.7765
ts3 Hung phu 5( lay nguon)71;10.747218772;106.674040545;-0.2881
htltl 72;10.747390343;106.673980539;-0.1927
htltl73;10.747501955;106.673984952;-0.1957
htltl ( tc)74;10.747598044;106.673947573;-0.0846
trong tru 1;10.747708049;106.673938675;-0.3895
trong tru 1 A;10.747749102;106.674051819;1.1007
tru tc;10.747828207;106.674066814;1.9838
htltl75;10.748025864;106.674056730;-0.2468
htltl76;10.748233972;106.674052196;0.4178
Base_5;10.742516667;106.676518333;8.6766
lnso nha 31tdkchienthang277;10.742806679;106.676756472;-0.2708
ttc78;10.742588066;106.676611083;-0.5216
htltl79;10.742361040;106.676440026;-0.454
htltl80;10.742178064;106.676308913;-0.5126
htltl81;10.742060293;106.676119410;-0.5259
tc82;10.742141438;106.676076849;-0.6382
htltl83;10.742210155;106.676005375;-0.5222
htltl84;10.742406852;106.675895361;-0.4903
tc85;10.742606593;106.675771352;0.4291
htltl86;10.742707037;106.675560679;-0.9909
lnts 9 TQB4 87;10.741727365;106.680473313;-0.6558
ttltldn 88;10.741587632;106.680416916;-0.3082
ttltl89;10.741163232;106.680324083;-0.2074
ttltl90;10.740824568;106.680244246;-0.0241
Base_6;10.740823333;106.680243333;-0.0235
ttltl91;10.740465835;106.680148148;0.041
tong tru92;10.740328917;106.680109709;0.0308
tong tru93;10.740167020;106.680394408;-0.1569
